contents_id	actor_account_name	user_events	n_prev	n_page_jump	n_memo	n_open_rec
daaaf13651380465fc284db6940d8478	2991	35	6	0	0	0
daaaf13651380465fc284db6940d8478	3069	22	3	0	1	0
daaaf13651380465fc284db6940d8478	3013	17	1	0	0	0
daaaf13651380465fc284db6940d8478	3073	16	2	0	0	0
daaaf13651380465fc284db6940d8478	3040	16	0	4	0	0
daaaf13651380465fc284db6940d8478	2971	15	2	0	0	0
daaaf13651380465fc284db6940d8478	2987	15	3	0	0	0
daaaf13651380465fc284db6940d8478	2975	14	0	0	0	0
daaaf13651380465fc284db6940d8478	3058	13	0	0	0	0
daaaf13651380465fc284db6940d8478	3033	13	1	0	0	0
daaaf13651380465fc284db6940d8478	3038	13	1	0	0	0
daaaf13651380465fc284db6940d8478	3070	12	2	0	0	0
daaaf13651380465fc284db6940d8478	3014	11	1	0	0	0
daaaf13651380465fc284db6940d8478	3047	10	0	0	0	0
daaaf13651380465fc284db6940d8478	3060	9	1	0	0	0
daaaf13651380465fc284db6940d8478	1702	9	0	0	0	0
daaaf13651380465fc284db6940d8478	2999	8	1	0	0	0
daaaf13651380465fc284db6940d8478	3029	8	0	0	0	0
daaaf13651380465fc284db6940d8478	3015	8	0	0	0	0
daaaf13651380465fc284db6940d8478	3050	8	3	0	0	0
daaaf13651380465fc284db6940d8478	2961	7	2	0	0	0
daaaf13651380465fc284db6940d8478	2993	6	1	0	0	0
daaaf13651380465fc284db6940d8478	3036	6	1	0	0	0
daaaf13651380465fc284db6940d8478	3017	6	0	0	0	0
daaaf13651380465fc284db6940d8478	3063	6	0	0	0	0
daaaf13651380465fc284db6940d8478	3018	6	0	0	0	0
daaaf13651380465fc284db6940d8478	3064	6	0	0	0	0
daaaf13651380465fc284db6940d8478	3057	6	2	0	0	0
daaaf13651380465fc284db6940d8478	3062	6	1	0	0	0
daaaf13651380465fc284db6940d8478	3003	5	1	0	0	0
daaaf13651380465fc284db6940d8478	3000	4	0	0	0	0
daaaf13651380465fc284db6940d8478	2981	4	1	0	0	0
daaaf13651380465fc284db6940d8478	2968	4	1	0	0	0
daaaf13651380465fc284db6940d8478	3022	4	1	0	0	0
daaaf13651380465fc284db6940d8478	2964	4	1	0	0	0
daaaf13651380465fc284db6940d8478	3027	3	0	0	0	0
daaaf13651380465fc284db6940d8478	2992	3	0	0	0	0
daaaf13651380465fc284db6940d8478	3059	3	0	0	0	0
daaaf13651380465fc284db6940d8478	3055	3	0	0	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2958	198	3	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2857	194	6	0	94	3
f0f6ba4b5e0000340312d33c212c3ae8	2959	180	20	0	18	4
f0f6ba4b5e0000340312d33c212c3ae8	1793	179	11	12	8	2
f0f6ba4b5e0000340312d33c212c3ae8	2839	158	3	5	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2858	155	4	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1718	154	1	8	55	7
f0f6ba4b5e0000340312d33c212c3ae8	1749	136	5	0	0	9
f0f6ba4b5e0000340312d33c212c3ae8	2880	127	1	0	85	2
f0f6ba4b5e0000340312d33c212c3ae8	1677	119	0	3	0	3
f0f6ba4b5e0000340312d33c212c3ae8	2838	114	19	7	0	4
f0f6ba4b5e0000340312d33c212c3ae8	1788	111	0	3	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2872	109	6	6	0	2
f0f6ba4b5e0000340312d33c212c3ae8	2925	108	22	0	0	3
f0f6ba4b5e0000340312d33c212c3ae8	1761	107	2	1	0	0
f0f6ba4b5e0000340312d33c212c3ae8	2888	106	4	5	9	3
f0f6ba4b5e0000340312d33c212c3ae8	2815	105	3	0	1	2
f0f6ba4b5e0000340312d33c212c3ae8	2876	103	16	0	0	1
f0f6ba4b5e0000340312d33c212c3ae8	1808	100	5	11	0	1
f0f6ba4b5e0000340312d33c212c3ae8	2956	100	1	1	0	0
