contents_id	contents_name	raw_events	uniq_events	uniq_users	first_ts	last_ts
689016f6ee80ef507e2f5d67614b4be8	新課程版サクシード数Ⅱ 第2章複素数と方程式 (問＆解答)	105708	89666	320	2023-04-19 01:05:45.000	2026-02-07 09:31:40.000
4375b1899f2a38ba3d4c7d08793325ec	03 相似の証明	153653	88898	106	2024-04-16 09:02:31.000	2024-07-10 05:16:56.000
5fd0245f6c9ddbdf3eff0f505975b6a7	改・未来へひろがる数学3	113634	87242	532	2021-08-10 02:03:53.000	2025-09-16 05:55:25.000
b0285cbf334be23be58e7ff353af1af2	R04_3年夏休みの課題プリント	84427	84427	131	2022-07-15 13:09:42.156	2023-02-18 08:46:29.933
f14bc21be7eaeed046fed206a492e652	［STEP中1］第4章 比例と反比例	165670	82835	121	2020-04-22 02:27:35.000	2025-01-09 09:00:09.000
63923f49e5241343aa7acb6a06a751e788	未来へひろがる数学1	165094	82547	23	2019-05-07 01:30:59.000	2021-02-10 01:53:07.000
5cfe9b8fb129f0fe3ffc7b209ac471ed	新課程版サクシード数Ⅱ 第4章 三角関数 (問＆解答)	104610	81340	336	2023-04-19 01:05:45.000	2026-01-27 08:50:29.000
ca91873a9667a6bd98115829f350b5a4	新課程版サクシード数Ⅱ 第5章 指数関数と対数関数 (問＆解答)	118136	80049	326	2023-04-19 01:05:45.000	2025-09-14 03:17:20.000
b09007d46d54f6bb4166f7d582a3f5d9	1章_正の数負の数	158451	79558	38	2024-05-20 02:02:09.000	2025-06-04 13:02:48.000
0dbcf39d413231953d442f2f17f80cd5	［STEP中1］第4章 比例と反比例	129431	77708	373	2021-04-26 05:29:22.000	2025-03-29 02:05:27.000
c4b31ce7d95c75ca70d50c19aef08bf151	高１ 青チャート/数Ⅰ/ 第１章数と式/ 第２章２次関数/ 第４章データの分析	152930	76465	40	2019-07-13 06:15:12.000	2020-05-07 03:07:03.000
1706f191d760c78dfcec5012e43b6714	［STEP中1］第6章 空間図形 	149852	74936	123	2020-04-09 13:22:32.000	2025-01-30 01:32:07.000
7298332f04ac004a0ca44cc69ecf6f6b	[サクシード数A] 第3章 整数の性質	143129	72732	222	2021-07-14 03:29:04.000	2023-03-13 11:28:29.000
6770b3cd18521ccaea7cac4b42b2ee5f	0603_01文字の式（長方形の周の長さ）	144896	72491	120	2024-06-02 10:16:00.000	2025-03-18 08:41:22.000
195f15384c2a79cedf293e4a847ce85c	[サクシード数II] 第3章 図形と方程式	72709	71766	264	2021-11-21 07:17:01.000	2024-02-26 07:59:24.000
2ff87ef2c8e0ec43f54888b94b9d5d05	03(0510)	143217	71681	117	2024-04-24 05:58:31.000	2024-11-29 02:06:57.000
8922176f5043c3196357e6e8d2d50852	0209「図形の移動」	71010	71002	113	2024-02-08 03:14:36.000	2024-08-23 02:51:32.000
598dc7d51e0cd7774c3484067198da82	0701_04方程式 (規則性仕事量)	141309	70671	115	2024-06-26 08:48:18.000	2025-04-02 01:09:19.000
5fd2c06f558321eff612bbbe455f6fbd	サクセスコーチ 1年（本文）	70297	69996	182	2022-04-19 06:29:31.000	2025-10-21 08:44:03.000
4670c07872d5314c6ad6ffa633d4a059	w27_1030「平方根」	134573	67292	114	2021-10-28 09:14:33.000	2022-07-22 10:12:16.306
65d141290a7de8a5c5ad8c972e8e6eff	02(0426)	109815	66828	121	2024-04-24 05:57:52.000	2025-01-31 12:39:13.000
b54a39e62236c79ee0536b932f6e76b3	R6.No.7(0708)	132364	66186	120	2024-07-04 03:19:51.000	2024-12-18 08:16:39.000
757f843a169cc678064d9530d12a1881	サクシード数Ⅰ_第３章 ２次関数	130390	65195	37	2019-10-17 05:32:14.000	2020-04-13 06:07:25.000
63923f49e5241343aa7acb6a06a751e786	未来へひろがる数学1	129414	64707	24	2019-05-07 01:30:43.000	2021-03-09 06:24:47.000
7ecd070e606afbf07a07c32e7267051f	［STEP中1］第6章 空間図形	106512	62120	311	2021-04-26 05:30:58.000	2025-06-30 04:18:03.000
